clt79 , client4421 , clt83 , client4886 , HELLO , Sat Jan 28 22:04:00 2017
clt79 , client4421 , clt37 , client2915 , hi , Sat Jan 28 22:04:10 2017
clt79 , client4421 , clt33 , client6335 , hello , Sat Jan 28 22:04:24 2017
clt79 , client4421 , clt56 , client7492 , hi , Sat Jan 28 22:04:29 2017
clt56 , client7492 , clt83 , client4886 , hi , Sat Jan 28 22:04:45 2017
clt56 , client7492 , clt37 , client2915 , hhello , Sat Jan 28 22:04:51 2017
clt33 , client6335 , clt83 , client4886 , hi , Sat Jan 28 22:05:03 2017
clt37 , client2915 , clt83 , client4886 , hi , Sat Jan 28 22:05:16 2017
clt37 , client2915 , clt33 , client6335 , hi , Sat Jan 28 22:05:52 2017
clt37 , client2915 , clt33 , client6335 , hello , Sat Jan 28 22:05:57 2017
clt37 , client2915 , clt33 , client6335 , hello , Sat Jan 28 22:06:03 2017
clt37 , client2915 , clt79 , client4421 , hello , Sat Jan 28 22:06:07 2017
clt37 , client2915 , clt83 , client4886 , hi , Sat Jan 28 22:06:19 2017
clt83 , client4886 , clt37 , client2915 , hi , Sat Jan 28 22:06:32 2017
clt83 , client4886 , clt33 , client6335 , hello , Sat Jan 28 22:06:40 2017
clt83 , client4886 , clt56 , client7492 , hello , Sat Jan 28 22:06:45 2017
clt83 , client4886 , clt79 , client4421 , hi , Sat Jan 28 22:06:51 2017
clt37 , client2915 , clt33 , client6335 , hi , Sat Jan 28 22:07:21 2017
clt37 , client2915 , clt79 , client4421 , hi , Sat Jan 28 22:07:42 2017
clt33 , client6335 , clt79 , client4421 , hello , Sat Jan 28 22:08:01 2017
clt33 , client6335 , clt79 , client4421 , how are you , Sat Jan 28 22:08:09 2017
clt33 , client6335 , clt79 , client4421 , great , Sat Jan 28 22:08:20 2017
clt79 , client4421 , clt33 , client6335 , hi , Sat Jan 28 22:08:27 2017
clt79 , client4421 , clt33 , client6335 , how are you , Sat Jan 28 22:08:33 2017
